year,species_code,English_name,total_obs
1994,YW,Western Yellow Wagtail,491.0
1995,AC,Parasitic Jaeger,38.0
1995,AE,Arctic Tern,126.0
1995,B.,Common Blackbird,26053.0
1995,BA,Bar-tailed Godwit,23.0
1995,BC,Eurasian Blackcap,2997.0
1995,BF,Eurasian Bullfinch,768.0
1995,BG,Brant Goose,15.0
1995,BH,Black-headed Gull,4846.0
1995,BJ,Black Tern,2.0
1995,BT,Eurasian Blue Tit,17108.0
1995,BY,Barnacle Goose,12.0
1995,BZ,Common Buzzard,783.0
1995,C.,Carrion Crow,20215.0
1995,CA,Great Cormorant,317.0
1995,CB,Corn Bunting,716.0
1995,CC,Common Chiffchaff,3513.0
1995,CD,Eurasian Collared Dove,5657.0
1995,CG,Canada Goose,1933.0
1995,CH,Eurasian Chaffinch,24752.0
1995,CK,Common Cuckoo,1467.0
1995,CM,Common Gull,1229.0
1995,CN,Common Tern,165.0
1995,CO,Eurasian Coot,1093.0
1995,CR,Red Crossbill,69.0
1995,CS,Common Sandpiper,156.0
1995,CT,Coal Tit,1961.0
1995,CU,Eurasian Curlew,2672.0
1995,CY,Scottish Crossbill,8.0
1995,D.,Dunnock,6854.0
1995,DI,White-throated Dipper,58.0
1995,DR,Spotted Redshank,2.0
1995,DV,Rock Dove,29.0
1995,DW,Dartford Warbler,7.0
1995,EG,Egyptian Goose,12.0
1995,ET,Little Egret,3.0
1995,F.,Northern Fulmar,234.0
1995,FP,Feral Pigeon,9297.0
1995,G.,European Green Woodpecker,786.0
1995,GA,Gadwall,86.0
1995,GB,Great Black-backed Gull,206.0
1995,GC,Goldcrest,2232.0
1995,GD,Common Merganser,93.0
1995,GF,Golden Pheasant,6.0
1995,GG,Great Crested Grebe,237.0
1995,GH,Common Grasshopper Warbler,76.0
1995,GJ,Greylag Goose,827.0
1995,GL,Grey Wagtail,258.0
1995,GO,European Goldfinch,4074.0
1995,GP,European Golden Plover,509.0
1995,GR,European Greenfinch,8670.0
1995,GS,Great Spotted Woodpecker,840.0
1995,GT,Great Tit,7848.0
1995,GV,Grey Plover,6.0
1995,GW,Garden Warbler,642.0
1995,GX,Northern Gannet,56.0
1995,H.,Grey Heron,877.0
1995,HC,Hooded Crow,307.0
1995,HD,Bar-headed Goose,1.0
1995,HG,European Herring Gull,4689.0
1995,HM,Western House Martin,5457.0
1995,HS,House Sparrow,30033.0
1995,J.,Eurasian Jay,858.0
1995,JD,Western Jackdaw,14559.0
1995,K.,Common Kestrel,638.0
1995,KF,Common Kingfisher,51.0
1995,KI,Black-legged Kittiwake,2.0
1995,L.,Northern Lapwing,4997.0
1995,LB,Lesser Black-backed Gull,2631.0
1995,LG,Little Grebe,101.0
1995,LI,Common Linnet,7768.0
1995,LO,Little Owl,89.0
1995,LR,Lesser Redpoll,396.0
1995,LS,Lesser Spotted Woodpecker,26.0
1995,LT,Long-tailed Tit,2171.0
1995,LU,Little Gull,1.0
1995,LW,Lesser Whitethroat,324.0
1995,M.,Mistle Thrush,2335.0
1995,MA,Mallard,5851.0
1995,MG,Eurasian Magpie,8587.0
1995,MH,Common Moorhen,1300.0
1995,MN,Mandarin Duck,20.0
1995,MP,Meadow Pipit,11363.0
1995,MS,Mute Swan,1771.0
1995,MT,Marsh Tit,240.0
1995,N.,Common Nightingale,47.0
1995,NH,Eurasian Nuthatch,534.0
1995,NX,Great Skua,18.0
1995,OC,Eurasian Oystercatcher,1766.0
1995,P.,Grey Partridge,610.0
1995,PF,European Pied Flycatcher,107.0
1995,PG,Pink-footed Goose,294.0
1995,PH,Common Pheasant,6748.0
1995,PM,Rock Ptarmigan,3.0
1995,PW,White Wagtail,2341.0
1995,PX,Indian Peafowl,1.0
1995,R.,European Robin,15162.0
1995,RB,Common Reed Bunting,1007.0
1995,RC,European Rock Pipit,48.0
1995,RG,Willow Ptarmigan,529.0
1995,RI,Rose-ringed Parakeet,26.0
1995,RK,Common Redshank,388.0
1995,RL,Red-legged Partridge,1343.0
1995,RM,Red-breasted Merganser,18.0
1995,RN,Northern Raven,393.0
1995,RO,Rook,27784.0
1995,RP,Common Ringed Plover,110.0
1995,RQ,Red-crested Pochard,1.0
1995,RT,Common Redstart,395.0
1995,RW,Common Reed Warbler,374.0
1995,RY,Ruddy Duck,41.0
1995,RZ,Ring Ouzel,76.0
1995,S.,Eurasian Skylark,14969.0
1995,SA,European Shag,205.0
1995,SC,European Stonechat,180.0
1995,SD,Stock Dove,2047.0
1995,SF,Spotted Flycatcher,262.0
1995,SG,Common Starling,52412.0
1995,SH,Eurasian Sparrowhawk,256.0
1995,SI,Common Swift,8413.0
1995,SK,Eurasian Siskin,454.0
1995,SL,Barn Swallow,8553.0
1995,SM,Sand Martin,698.0
1995,SN,Common Snipe,334.0
1995,SR,Great Grey Shrike,1.0
1995,SS,Sanderling,4.0
1995,ST,Song Thrush,5506.0
1995,SU,Common Shelduck,961.0
1995,SW,Sedge Warbler,899.0
1995,T.,Eurasian Teal,62.0
1995,TC,Eurasian Treecreeper,401.0
1995,TD,European Turtle Dove,500.0
1995,TE,Sandwich Tern,23.0
1995,TO,Tawny Owl,69.0
1995,TP,Tree Pipit,365.0
1995,TS,Eurasian Tree Sparrow,531.0
1995,TT,Ruddy Turnstone,37.0
1995,TU,Tufted Duck,793.0
1995,W.,Northern Wheatear,819.0
1995,WA,Water Rail,3.0
1995,WC,Whinchat,261.0
1995,WH,Common Whitethroat,3640.0
1995,WK,Eurasian Woodcock,15.0
1995,WL,Woodlark,13.0
1995,WO,Wood Warbler,139.0
1995,WP,Common Wood Pigeon,44098.0
1995,WR,Eurasian Wren,23561.0
1995,WT,Willow Tit,103.0
1995,WW,Willow Warbler,7801.0
1995,Y.,Yellowhammer,5728.0
1995,YW,Western Yellow Wagtail,665.0
1996,AC,Parasitic Jaeger,52.0
